date,state,cases,predict,lower,upper
2020-05-01,Vermont,,1017.2417635188071,825.0,1209.4835270376143
2020-05-02,Vermont,,1052.1388120117142,825.0,1279.2776240234284
2020-05-03,Vermont,,1088.8694384099686,825.0,1352.7388768199373
2020-05-04,Vermont,,1127.34403552712,825.0,1429.6880710542398
2020-05-05,Vermont,,1167.484975671347,825.0,1509.9699513426938
2020-05-06,Vermont,,1209.224157814035,825.0,1593.4483156280698
2020-05-07,Vermont,,1252.5012051084746,825.0,1680.002410216949
2020-05-08,Vermont,,1297.2621065413452,825.0,1769.5242130826905
2020-04-23,Virginia,,11000.0,11000.0,11000.0
2020-04-24,Virginia,,11643.76664862287,11480.030014754891,11807.503282490849
2020-04-25,Virginia,,12301.79173398954,11969.809121637285,12633.774346341794
2020-04-26,Virginia,,12974.075256100008,12469.455065909537,13478.69544629048
2020-04-27,Virginia,,13660.617214954276,12979.076824426022,14342.157605482531
2020-04-28,Virginia,,14361.417610552344,13498.775642744167,15224.05957836052
2020-04-29,Virginia,,15076.476442894213,14028.645908217044,16124.306977571381
2020-04-30,Virginia,,15805.793711979879,14568.77589098382,17042.81153297594
2020-05-01,Virginia,,16549.369417809346,15119.248377496724,17979.490458121967
2020-05-02,Virginia,,17307.20356038261,15680.141215829017,18934.265904936205
2020-05-03,Virginia,,18079.296139699676,16251.527787956835,19907.064491442514
2020-05-04,Virginia,,18865.64715576054,16833.477421127158,20897.816890393922
2020-05-05,Virginia,,19666.256608565203,17426.055748055718,21906.45746907469
2020-05-06,Virginia,,20481.12449811367,18029.325023858735,22932.9239723686
2020-05-07,Virginia,,21310.25082440593,18643.34440617961,23977.157242632253
2020-05-08,Virginia,,22153.635587441993,19268.170203830072,25039.100971053915
2020-04-23,Connecticut,,23100.0,23100.0,23100.0
2020-04-24,Connecticut,,24727.78561612239,24187.46312149878,25268.108110746
2020-04-25,Connecticut,,25780.094811679173,24671.63586860346,26888.55375475489
2020-04-26,Connecticut,,27236.91711800873,25499.153434560823,28974.680801456638
2020-04-27,Connecticut,,28487.42593043397,26120.31289945879,30854.538961409147
2020-04-28,Connecticut,,29912.348929251413,26894.39624047314,32930.30161802969
2020-04-29,Connecticut,,31274.37888940888,27603.02399239061,34945.73378642715
2020-04-30,Connecticut,,32721.42919355852,28384.792409579768,37058.06597753728
2020-05-01,Connecticut,,34161.305561636625,29154.206746701508,39168.40437657174
2020-05-02,Connecticut,,35651.4726065407,29965.053248402714,41337.891964678696
2020-05-03,Connecticut,,37156.112686078864,30784.03108864288,43528.19428351485
2020-05-04,Connecticut,,38697.55090482415,31632.083469714376,45763.01833993393
2020-05-05,Connecticut,,40261.87204492032,32496.28501558724,48027.4590742534
2020-05-06,Connecticut,,41857.7494493008,33384.82113418411,50330.67776441748
2020-05-07,Connecticut,,43479.777031016885,34292.70191203592,52666.85214999786
2020-05-08,Connecticut,,45131.32439926325,35223.15026341939,55039.498535107115
2020-04-23,Iowa,,3939.0,3939.0,3939.0
2020-04-24,Iowa,,3981.240819800005,3939.0,4023.481639600009
2020-04-25,Iowa,,4076.482408584795,3939.0,4213.96481716959
2020-04-26,Iowa,,4134.981565929149,3939.0,4330.963131858299
2020-04-27,Iowa,,4244.831743636624,3939.0,4550.663487273248
2020-04-28,Iowa,,4326.937970135075,3939.0,4714.87594027015
2020-04-29,Iowa,,4450.953165527127,3939.0,4962.906331054253
2020-04-30,Iowa,,4552.192094653441,3939.0,5165.384189306881
2020-05-01,Iowa,,4685.442406671524,3939.0,5431.884813343047
2020-05-02,Iowa,,4799.578773685318,3939.0,5660.157547370635
2020-05-03,Iowa,,4937.353874549927,3939.0,5935.7077490998545
2020-05-04,Iowa,,5059.159905292866,3939.0,6179.319810585732
2020-05-05,Iowa,,5198.157357586493,3939.0,6457.314715172986
2020-05-06,Iowa,,5324.042205432896,3939.0,6709.084410865792
2020-05-07,Iowa,,5462.45494367528,3939.0,6985.909887350561
2020-05-08,Iowa,,5590.348616046994,3939.0,7241.697232093988
2020-04-23,Louisiana,,25739.0,25739.0,25739.0
2020-04-24,Louisiana,,26332.898981252114,25739.0,26926.797962504228
2020-04-25,Louisiana,,26965.073635445406,25739.0,28191.14727089081
2020-04-26,Louisiana,,27688.919574188658,25739.0,29638.83914837732
2020-04-27,Louisiana,,28454.06422145138,25739.0,31169.128442902762
2020-04-28,Louisiana,,29278.402566357683,25739.0,32817.805132715366
2020-04-29,Louisiana,,30143.801262136407,25739.0,34548.602524272814
2020-04-30,Louisiana,,31056.1078273577,25739.0,36373.2156547154
2020-05-01,Louisiana,,32007.64868678481,25739.0,38276.29737356962
2020-05-02,Louisiana,,32999.92671437111,25739.0,40260.85342874222
2020-05-03,Louisiana,,34029.22995166687,25739.0,42319.459903333736
2020-05-04,Louisiana,,35095.51837819034,25739.0,44452.03675638068
2020-05-05,Louisiana,,36196.72815026577,25739.0,46654.45630053154
2020-05-06,Louisiana,,37332.317359798326,25739.0,48925.63471959665
2020-05-07,Louisiana,,38500.96977543257,25739.0,51262.939550865136
2020-05-08,Louisiana,,39702.02462748758,25739.0,53665.049254975165
2020-04-23,Ohio,,14694.0,14694.0,14694.0
2020-04-24,Ohio,,15450.077156327785,15213.765091290772,15686.389221364798
2020-04-25,Ohio,,16222.48332577643,15531.504045249136,16913.46260630372
2020-04-26,Ohio,,17011.218508345934,15722.241601066398,18300.195415625465
2020-04-27,Ohio,,17816.282704036297,15814.227928385473,19818.337479687118
2020-04-28,Ohio,,18637.675912847517,15823.611943208989,21451.739882486047
2020-04-29,Ohio,,19506.603078932192,15823.611943208989,23189.594214655393
2020-04-30,Ohio,,20423.8114941576,15823.611943208989,25024.011045106206
2020-05-01,Ohio,,21386.257624706126,15823.611943208989,26948.90330620326
2020-05-02,Ohio,,22391.500694049046,15823.611943208989,28959.389444889104
2020-05-03,Ohio,,23437.52663418649,15823.611943208989,31051.441325163996
2020-05-04,Ohio,,24522.63658050326,15823.611943208989,33221.661217797526
2020-05-05,Ohio,,25645.37234035697,15823.611943208989,35467.13273750495
2020-05-06,Ohio,,26804.46442330085,15823.611943208989,37785.31690339271
2020-05-07,Ohio,,27998.79454456245,15823.611943208989,40173.97714591591
2020-05-08,Ohio,,29227.36779816492,15823.611943208989,42631.12365312085
2020-04-23,Michigan,,35252.0,35252.0,35252.0
2020-04-24,Michigan,,36587.89614759371,36139.24596087128,37036.54633431614
2020-04-25,Michigan,,37935.929875739144,36845.73937166789,39026.120379810396
2020-04-26,Michigan,,39295.342617394315,37410.881542357165,41179.803692431466
2020-04-27,Michigan,,40665.37580551724,37854.002087837805,43476.74952319667
2020-04-28,Michigan,,42045.27087306593,38186.76646916082,45903.775276971035
2020-04-29,Michigan,,43434.2692529984,38416.964868757095,48451.5736372397
2020-04-30,Michigan,,44831.612378272665,38550.11814200996,51113.10661453537
2020-05-01,Michigan,,46236.541681846735,38590.28988092127,53882.793482772206
2020-05-02,Michigan,,47673.170413495754,38590.28988092127,56756.05094607023
2020-05-03,Michigan,,49159.65054192545,38590.28988092127,59729.01120292964
2020-05-04,Michigan,,50694.31420972345,38590.28988092127,62798.33853852563
2020-05-05,Michigan,,52275.697143664525,38590.28988092127,65961.10440640777
2020-05-06,Michigan,,53902.49452388658,38590.28988092127,69214.69916685187
2020-05-07,Michigan,,55573.52885250912,38590.28988092127,72556.76782409695
2020-05-08,Michigan,,57287.72596572418,38590.28988092127,75985.16205052708
2020-04-23,South Dakota,,1956.0,1956.0,1956.0
2020-04-24,South Dakota,,2059.619866478808,2019.8954945125267,2099.344238445089
2020-04-25,South Dakota,,2165.804817357508,2076.915208586636,2254.6944261283797
2020-04-26,South Dakota,,2275.504816041207,2127.4101307779683,2423.5995013044458
2020-04-27,South Dakota,,2388.496999713988,2172.7894381205365,2604.2045613074397
2020-04-28,South Dakota,,2504.9019784098828,2213.701730353621,2796.102226466145
2020-04-29,South Dakota,,2624.7397730078237,2250.6933635702153,2998.7861824454326
2020-04-30,South Dakota,,2748.059862837754,2284.1695758972223,3211.950149778286
2020-05-01,South Dakota,,2874.903100053703,2314.4610467654984,3435.3451533419075
2020-05-02,South Dakota,,3005.31286335681,2341.841148851154,3668.784577862466
2020-05-03,South Dakota,,3139.331791525862,2366.5425212991145,3912.1210617526094
2020-05-04,South Dakota,,3277.002740032651,2388.766713412334,4165.2387666529685
2020-05-05,South Dakota,,3418.3685008884477,2408.691251334158,4428.045750442738
2020-05-06,South Dakota,,3563.4718846895153,2426.4746256198523,4700.469143759178
2020-05-07,South Dakota,,3712.355696589332,2442.2599965930167,4982.451396585648
